inputs,outputs,faulty_output_prob,regular_diagnoser_time,backward_diagnoser_time,best_prob_diagnoser_time,regular_diagnoser_output,backward_diagnoser_output,best_prob_diagnoser_output
"[0, 0, 1, 1, 0]","[1, 1]",0.09,0.0,0.01562643051147461,0.0,"[([gate16], 0.264033)]","[([gate16], 0.264033)]","[([gate16], 0.276033)]"
"[0, 0, 1, 1, 0]","[1, 1]",0.07,0.0,0.01562643051147461,0.0,"[([gate16], 0.264033)]","[([gate16], 0.264033)]","[([gate16], 0.2883)]"
"[0, 0, 1, 1, 0]","[1, 1]",0.05,0.0,0.01562643051147461,0.0,"[([gate16], 0.264033)]","[([gate16], 0.264033)]","[([gate16], 0.300833)]"
"[0, 0, 1, 1, 0]","[1, 1]",0.03,0.0,0.01562643051147461,0.0,"[([gate16], 0.264033)]","[([gate16], 0.264033)]","[([gate16], 0.313633)]"
"[0, 0, 1, 1, 0]","[1, 1]",0.01,0.0,0.01562643051147461,0.0,"[([gate16], 0.264033)]","[([gate16], 0.264033)]","[([gate16], 0.3267)]"
"[0, 1, 0, 0, 0]","[0, 0]",0.11,0.0,0.0,0.0,"[([gate16], 0.31684), ([gate11], 0.31684)]","[([gate16], 0.31684), ([gate11], 0.31684)]","[([gate16], 0.31684), ([gate11], 0.31684)]"
"[0, 1, 0, 0, 0]","[0, 0]",0.09,0.0,0.0,0.0,"[([gate16], 0.31684), ([gate11], 0.31684)]","[([gate16], 0.31684), ([gate11], 0.31684)]","[([gate16], 0.33124), ([gate11], 0.33124)]"
"[0, 1, 0, 0, 0]","[0, 0]",0.07,0.0,0.0,0.0,"[([gate16], 0.31684), ([gate11], 0.31684)]","[([gate16], 0.31684), ([gate11], 0.31684)]","[([gate16], 0.34596), ([gate11], 0.34596)]"
"[0, 1, 0, 0, 0]","[0, 0]",0.05,0.0,0.0,0.0,"[([gate16], 0.31684), ([gate11], 0.31684)]","[([gate16], 0.31684), ([gate11], 0.31684)]","[([gate16], 0.361), ([gate11], 0.361)]"
"[0, 1, 0, 0, 0]","[0, 0]",0.03,0.0,0.0,0.0,"[([gate16], 0.31684), ([gate11], 0.31684)]","[([gate16], 0.31684), ([gate11], 0.31684)]","[([gate16], 0.37636), ([gate11], 0.37636)]"
"[0, 1, 0, 0, 0]","[0, 0]",0.01,0.0,0.0,0.0,"[([gate16], 0.31684), ([gate11], 0.31684)]","[([gate16], 0.31684), ([gate11], 0.31684)]","[([gate16], 0.39204), ([gate11], 0.39204)]"
"[0, 0, 1, 1, 0]","[1, 0]",0.11,0.0,0.0,0.015629291534423828,"[([gate22], 0.31684), ([gate10], 0.31684)]","[([gate22], 0.31684), ([gate10], 0.31684)]","[([gate22], 0.31684), ([gate10], 0.31684)]"
"[0, 0, 1, 1, 0]","[1, 0]",0.09,0.0,0.0,0.0,"[([gate22], 0.31684), ([gate10], 0.31684)]","[([gate22], 0.31684), ([gate10], 0.31684)]","[([gate22], 0.33124), ([gate10], 0.33124)]"
"[0, 0, 1, 1, 0]","[1, 0]",0.07,0.0,0.0,0.0,"[([gate22], 0.31684), ([gate10], 0.31684)]","[([gate22], 0.31684), ([gate10], 0.31684)]","[([gate22], 0.34596), ([gate10], 0.34596)]"
"[0, 0, 1, 1, 0]","[1, 0]",0.05,0.0,0.0,0.0,"[([gate22], 0.31684), ([gate10], 0.31684)]","[([gate22], 0.31684), ([gate10], 0.31684)]","[([gate22], 0.361), ([gate10], 0.361)]"
"[0, 0, 1, 1, 0]","[1, 0]",0.03,0.0,0.0,0.0,"[([gate22], 0.31684), ([gate10], 0.31684)]","[([gate22], 0.31684), ([gate10], 0.31684)]","[([gate22], 0.37636), ([gate10], 0.37636)]"
"[0, 0, 1, 1, 0]","[1, 0]",0.01,0.0,0.0,0.0,"[([gate22], 0.31684), ([gate10], 0.31684)]","[([gate22], 0.31684), ([gate10], 0.31684)]","[([gate22], 0.39204), ([gate10], 0.39204)]"
"[0, 0, 1, 0, 1]","[1, 1]",0.11,0.0,0.0,0.0,"[([gate22], 0.264033), ([gate16], 0.264033), ([gate10], 0.264033)]","[([gate22], 0.264033), ([gate16], 0.264033), ([gate10], 0.264033)]","[([gate22], 0.264033), ([gate16], 0.264033), ([gate10], 0.264033)]"
"[0, 0, 1, 0, 1]","[1, 1]",0.09,0.0,0.0,0.0,"[([gate22], 0.264033), ([gate16], 0.264033), ([gate10], 0.264033)]","[([gate22], 0.264033), ([gate16], 0.264033), ([gate10], 0.264033)]","[([gate22], 0.276033), ([gate16], 0.276033), ([gate10], 0.276033)]"
"[0, 0, 1, 0, 1]","[1, 1]",0.07,0.0,0.0,0.0,"[([gate22], 0.264033), ([gate16], 0.264033), ([gate10], 0.264033)]","[([gate22], 0.264033), ([gate16], 0.264033), ([gate10], 0.264033)]","[([gate22], 0.2883), ([gate16], 0.2883), ([gate10], 0.2883)]"
"[0, 0, 1, 0, 1]","[1, 1]",0.05,0.0,0.0,0.0,"[([gate22], 0.264033), ([gate16], 0.264033), ([gate10], 0.264033)]","[([gate22], 0.264033), ([gate16], 0.264033), ([gate10], 0.264033)]","[([gate22], 0.300833), ([gate16], 0.300833), ([gate10], 0.300833)]"
"[0, 0, 1, 0, 1]","[1, 1]",0.03,0.0,0.0,0.0,"[([gate22], 0.264033), ([gate16], 0.264033), ([gate10], 0.264033)]","[([gate22], 0.264033), ([gate16], 0.264033), ([gate10], 0.264033)]","[([gate22], 0.313633), ([gate16], 0.313633), ([gate10], 0.313633)]"
"[0, 0, 1, 0, 1]","[1, 1]",0.01,0.0,0.0,0.0,"[([gate22], 0.264033), ([gate16], 0.264033), ([gate10], 0.264033)]","[([gate22], 0.264033), ([gate16], 0.264033), ([gate10], 0.264033)]","[([gate22], 0.3267), ([gate16], 0.3267), ([gate10], 0.3267)]"
"[0, 0, 1, 1, 0]","[0, 1]",0.11,0.0,0.0,0.0,"[([gate23], 0.31684), ([gate19], 0.31684)]","[([gate23], 0.31684), ([gate19], 0.31684)]","[([gate23], 0.31684), ([gate19], 0.31684)]"
"[0, 0, 1, 1, 0]","[0, 1]",0.09,0.0,0.0,0.0,"[([gate23], 0.31684), ([gate19], 0.31684)]","[([gate23], 0.31684), ([gate19], 0.31684)]","[([gate23], 0.33124), ([gate19], 0.33124)]"
"[0, 0, 1, 1, 0]","[0, 1]",0.07,0.0,0.0,0.0,"[([gate23], 0.31684), ([gate19], 0.31684)]","[([gate23], 0.31684), ([gate19], 0.31684)]","[([gate23], 0.34596), ([gate19], 0.34596)]"
"[0, 0, 1, 1, 0]","[0, 1]",0.05,0.0,0.0,0.0,"[([gate23], 0.31684), ([gate19], 0.31684)]","[([gate23], 0.31684), ([gate19], 0.31684)]","[([gate23], 0.361), ([gate19], 0.361)]"
"[0, 0, 1, 1, 0]","[0, 1]",0.03,0.0,0.0,0.0,"[([gate23], 0.31684), ([gate19], 0.31684)]","[([gate23], 0.31684), ([gate19], 0.31684)]","[([gate23], 0.37636), ([gate19], 0.37636)]"
"[0, 0, 1, 1, 0]","[0, 1]",0.01,0.0,0.0,0.0,"[([gate23], 0.31684), ([gate19], 0.31684)]","[([gate23], 0.31684), ([gate19], 0.31684)]","[([gate23], 0.39204), ([gate19], 0.39204)]"
"[1, 0, 1, 1, 1]","[0, 1]",0.11,0.0,0.015623092651367188,0.0,"[([gate22, gate23], 0.113157), ([gate19, gate22], 0.113157), ([gate16, gate22], 0.113157), ([gate11, gate22], 0.113157), ([gate10, gate23], 0.113157), ([gate10, gate19], 0.113157), ([gate10, gate11], 0.113157)]","[([gate22, gate23], 0.113157), ([gate19, gate22], 0.113157), ([gate16, gate22], 0.113157), ([gate11, gate22], 0.113157), ([gate10, gate23], 0.113157), ([gate10, gate19], 0.113157), ([gate10, gate11], 0.113157)]","[([gate22, gate23], 0.113157), ([gate19, gate22], 0.113157), ([gate16, gate22], 0.113157), ([gate11, gate22], 0.113157), ([gate10, gate23], 0.113157), ([gate10, gate19], 0.113157), ([gate10, gate11], 0.113157)]"
"[1, 0, 1, 1, 1]","[0, 1]",0.09,0.0,0.015623092651367188,0.0,"[([gate22, gate23], 0.113157), ([gate19, gate22], 0.113157), ([gate16, gate22], 0.113157), ([gate11, gate22], 0.113157), ([gate10, gate23], 0.113157), ([gate10, gate19], 0.113157), ([gate10, gate11], 0.113157)]","[([gate22, gate23], 0.113157), ([gate19, gate22], 0.113157), ([gate16, gate22], 0.113157), ([gate11, gate22], 0.113157), ([gate10, gate23], 0.113157), ([gate10, gate19], 0.113157), ([gate10, gate11], 0.113157)]","[([gate22, gate23], 0.1183), ([gate19, gate22], 0.1183), ([gate16, gate22], 0.1183), ([gate11, gate22], 0.1183), ([gate10, gate23], 0.1183), ([gate10, gate19], 0.1183), ([gate10, gate11], 0.1183)]"
"[1, 0, 1, 1, 1]","[0, 1]",0.07,0.0,0.015623092651367188,0.0,"[([gate22, gate23], 0.113157), ([gate19, gate22], 0.113157), ([gate16, gate22], 0.113157), ([gate11, gate22], 0.113157), ([gate10, gate23], 0.113157), ([gate10, gate19], 0.113157), ([gate10, gate11], 0.113157)]","[([gate22, gate23], 0.113157), ([gate19, gate22], 0.113157), ([gate16, gate22], 0.113157), ([gate11, gate22], 0.113157), ([gate10, gate23], 0.113157), ([gate10, gate19], 0.113157), ([gate10, gate11], 0.113157)]","[([gate22, gate23], 0.123557), ([gate19, gate22], 0.123557), ([gate16, gate22], 0.123557), ([gate11, gate22], 0.123557), ([gate10, gate23], 0.123557), ([gate10, gate19], 0.123557), ([gate10, gate11], 0.123557)]"
"[1, 0, 1, 1, 1]","[0, 1]",0.05,0.0,0.015623092651367188,0.0,"[([gate22, gate23], 0.113157), ([gate19, gate22], 0.113157), ([gate16, gate22], 0.113157), ([gate11, gate22], 0.113157), ([gate10, gate23], 0.113157), ([gate10, gate19], 0.113157), ([gate10, gate11], 0.113157)]","[([gate22, gate23], 0.113157), ([gate19, gate22], 0.113157), ([gate16, gate22], 0.113157), ([gate11, gate22], 0.113157), ([gate10, gate23], 0.113157), ([gate10, gate19], 0.113157), ([gate10, gate11], 0.113157)]","[([gate22, gate23], 0.128929), ([gate19, gate22], 0.128929), ([gate16, gate22], 0.128929), ([gate11, gate22], 0.128929), ([gate10, gate23], 0.128929), ([gate10, gate19], 0.128929), ([gate10, gate11], 0.128929)]"
"[1, 0, 1, 1, 1]","[0, 1]",0.03,0.0,0.015623092651367188,0.0,"[([gate22, gate23], 0.113157), ([gate19, gate22], 0.113157), ([gate16, gate22], 0.113157), ([gate11, gate22], 0.113157), ([gate10, gate23], 0.113157), ([gate10, gate19], 0.113157), ([gate10, gate11], 0.113157)]","[([gate22, gate23], 0.113157), ([gate19, gate22], 0.113157), ([gate16, gate22], 0.113157), ([gate11, gate22], 0.113157), ([gate10, gate23], 0.113157), ([gate10, gate19], 0.113157), ([gate10, gate11], 0.113157)]","[([gate22, gate23], 0.134414), ([gate19, gate22], 0.134414), ([gate16, gate22], 0.134414), ([gate11, gate22], 0.134414), ([gate10, gate23], 0.134414), ([gate10, gate19], 0.134414), ([gate10, gate11], 0.134414)]"
"[1, 0, 1, 1, 1]","[0, 1]",0.01,0.0,0.015623092651367188,0.0,"[([gate22, gate23], 0.113157), ([gate19, gate22], 0.113157), ([gate16, gate22], 0.113157), ([gate11, gate22], 0.113157), ([gate10, gate23], 0.113157), ([gate10, gate19], 0.113157), ([gate10, gate11], 0.113157)]","[([gate22, gate23], 0.113157), ([gate19, gate22], 0.113157), ([gate16, gate22], 0.113157), ([gate11, gate22], 0.113157), ([gate10, gate23], 0.113157), ([gate10, gate19], 0.113157), ([gate10, gate11], 0.113157)]","[([gate22, gate23], 0.140014), ([gate19, gate22], 0.140014), ([gate16, gate22], 0.140014), ([gate11, gate22], 0.140014), ([gate10, gate23], 0.140014), ([gate10, gate19], 0.140014), ([gate10, gate11], 0.140014)]"
"[1, 1, 1, 0, 0]","[0, 0]",0.11,0.0,0.0,0.0,"[([gate22, gate23], 0.15842), ([gate16, gate22], 0.15842), ([gate11, gate22], 0.15842), ([gate10, gate16], 0.15842), ([gate10, gate11], 0.15842)]","[([gate22, gate23], 0.15842), ([gate16, gate22], 0.15842), ([gate11, gate22], 0.15842), ([gate10, gate16], 0.15842), ([gate10, gate11], 0.15842)]","[([gate22, gate23], 0.15842), ([gate16, gate22], 0.15842), ([gate11, gate22], 0.15842), ([gate10, gate16], 0.15842), ([gate10, gate11], 0.15842)]"
